raceId,driverId,stop,pit_lap,year,round,circuit_name,race_position,lap_time_ms,constructorId,grid_position,constructor_name,driver_champ_points,constructor_champ_points,personal_best_ms,lap_time_delta,prev_pit_lap,laps_since_last_pit,max_lap,laps_remaining,driverId_ahead,approx_gap_ahead,driverId_behind,approx_gap_behind,tyre_deg_slope_ms_per_lap,rival_ahead_just_pitted,rival_behind_just_pitted,strategy
938,1,1,26,2015,12,Autodromo Nazionale di Monza,1,92707,131,1,Mercedes,227.0,426.0,86672,6035,0,26,53,27,,15.0,20.0,15.0,855.2999999999915,0,1,Standard
1052,839,2,31,2021,1,Bahrain International Circuit,10,99268,214,16,Alpine F1 Team,0.0,0.0,95250,4018,13,18,56,25,852.0,8.871,840.0,2.959,453.000000000006,0,0,Standard
997,840,2,65,2018,9,Red Bull Ring,13,73806,3,14,Williams,4.0,4.0,69203,4603,15,50,71,6,832.0,14.347,845.0,15.0,718.9000000000038,0,0,Standard
975,20,1,5,2017,7,Circuit Gilles Villeneuve,18,102783,6,2,Ferrari,129.0,196.0,74719,28064,0,5,70,65,836.0,12.776,,15.0,-5000.0,0,0,Standard
1052,844,1,12,2021,1,Bahrain International Circuit,6,100477,6,4,Ferrari,0.0,0.0,94988,5489,0,12,56,44,846.0,1.423,832.0,1.497,424.4000000000004,0,0,Standard
1042,830,1,23,2020,12,Autódromo Internacional do Algarve,4,85538,9,3,Red Bull,147.0,211.0,79854,5684,0,23,66,43,844.0,0.753,842.0,13.418,635.0999999999967,0,0,Undercut
1112,857,1,23,2023,14,Autodromo Nazionale di Monza,3,91866,1,7,McLaren,36.0,111.0,85072,6794,0,23,51,28,830.0,2.25,832.0,2.752,870.0999999999975,0,0,Standard
1004,4,1,5,2018,16,Sochi Autodrom,18,109256,1,16,McLaren,50.0,58.0,99590,9666,0,5,53,48,838.0,3.561,,15.0,-1015.3000000000079,0,0,Standard
1100,852,3,55,2023,3,Albert Park Grand Prix Circuit,13,958961,213,12,AlphaTauri,0.0,0.0,81789,100000,54,1,58,3,855.0,4.619,822.0,3.227,0.0,1,1,Emergency
927,1,2,24,2015,2,Sepang International Circuit,2,112137,131,1,Mercedes,25.0,43.0,103125,9012,4,20,56,32,20.0,4.633,3.0,3.024,1139.600000000003,0,0,Standard
